song,artist,genre
You Belong With Me,Taylor Swift,
Shy Away,twenty one pilots,Alternative
Fifteen,Taylor Swift,
Big Purr,Coi Leray,Rap/Hip Hop
Met Him Last Night,Demi Lovato,Pop
The Way I Loved You,Taylor Swift,
Dancing With The Devil,Demi Lovato,Pop
Real As It Gets,Lil Baby,Rap/Hip Hop
Put Your Records On,Ritt Momney,Pop
Whoopty,CJ,Rap/Hip Hop
Lemon Pepper Freestyle,Drake,Rap/Hip Hop
Film Out,BTS,Asian Music
Body,Megan Thee Stallion,Rap/Hip Hop
As I Am,Justin Bieber,Pop
Girl Like Me,Black Eyed Peas,Pop
Buss It,Erica Banks,Rap/Hip Hop
Dynamite,BTS,Asian Music
SoulFly,Rod Wave,Rap/Hip Hop
Gone Till November,Rod Wave,Rap/Hip Hop
Don't Forget,Rod Wave,Rap/Hip Hop
Blame On You,Rod Wave,Rap/Hip Hop
All I Got,Rod Wave,Rap/Hip Hop
Pills & Billz,Rod Wave,Rap/Hip Hop
How The Game Go,Rod Wave,Rap/Hip Hop
OMDB,Rod Wave,Rap/Hip Hop
Clouds,NF,Rap/Hip Hop
What's Love??,Rod Wave,Rap/Hip Hop
Shock Da World,Rod Wave,Rap/Hip Hop
Sneaky Links,Rod Wave,Rap/Hip Hop
Better Together,Luke Combs,Country
Good Time,Niko Moon,Country
Unstable,Justin Bieber,Pop
Off My Face,Justin Bieber,Pop
2 Much,Justin Bieber,Pop
Deserve You,Justin Bieber,Pop
Die For You,Justin Bieber,Pop
Love You Different,Justin Bieber,Pop
Loved By You,Justin Bieber,Pop
Somebody,Justin Bieber,Pop
Neighbors,Pooh Shiesty,Rap/Hip Hop
Bandido,Myke Towers,Reggaeton
Beers And Sunshine,Darius Rucker,Country
Throat Baby,BRS Kash,Rap/Hip Hop
On The Ground,ROSE,Asian Music
Lost,NF,Rap/Hip Hop
Baila Conmigo,Selena Gomez,Pop
Like I Want You,Giveon,R&B
Daywalker!,Machine Gun Kelly,
Opp Stoppa,YBN Nahmir,Rap/Hip Hop
Still Trappin',Lil Durk,Rap/Hip Hop
Finesse Out The Gang Way,Lil Durk,Rap/Hip Hop
Undivided,Tim McGraw,Country
Holy,Justin Bieber,Pop
Golden,Harry Styles,Pop
Lifestyle,Jason Derulo,Pop
Moonwalking In Calabasas,DDG,Rap/Hip Hop
Tyler Herro,Jack Harlow,Rap/Hip Hop
Somebody's Problem,Morgan Wallen,Country
Cover Me Up,Morgan Wallen,Country
Life's A Mess II,Juice WRLD,Rap/Hip Hop
AP,Pop Smoke,Rap/Hip Hop
I Hope,Gabby Barrett,Country
Bang!,AJR,Alternative
Lemonade,Internet Money,Rap/Hip Hop
Lonely,Justin Bieber,Pop
Laugh Now Cry Later,Drake,Rap/Hip Hop
Only Wanna Be With You,Post Malone,Films/Games
Hole In The Bottle,Kelsea Ballerini,Country
Bichota,Karol G,Rap/Hip Hop
Test Drive,Ariana Grande,Pop
Hit Bout It,Lil Yachty,Rap/Hip Hop
Chicken Tendies,Clinton Kane,Pop
ZaZa,6ix9ine,
Afterglow,Ed Sheeran,
Monster,Shawn Mendes,Pop
Before You Go,Lewis Capaldi,Alternative
What It Feels Like,Nipsey Hussle,Rap/Hip Hop
So Done,The Kid LAROI,Rap/Hip Hop
Happy Does,Kenny Chesney,Country
"Big, Big Plans",Chris Lane,Country
Back To The Streets,Saweetie,Rap/Hip Hop
Bad Boy,Juice WRLD,Rap/Hip Hop
Kings & Queens,Ava Max,Pop
Rockstar,DaBaby,Rap/Hip Hop
GNF,Polo G,Rap/Hip Hop
Provide,G-Eazy,Rap/Hip Hop
865,Morgan Wallen,Country
Box Of Churches,Pooh Shiesty,Rap/Hip Hop
Dangerous,Morgan Wallen,Country
Warning,Morgan Wallen,Country
Still Goin Down,Morgan Wallen,Country
Prisoner,Miley Cyrus,Pop
Skin,Sabrina Carpenter,Pop
7 Summers,Morgan Wallen,Country
More Than My Hometown,Morgan Wallen,Country
Whats Poppin,Jack Harlow,Rap/Hip Hop
Should've Ducked,Lil Durk,Rap/Hip Hop
Diamonds,Sam Smith,Pop
Gravity,Brent Faiyaz,R&B
Holiday,Lil Nas X,Pop
Stay Down,Lil Durk,Rap/Hip Hop
Kanye Krazy,Lil Durk,Rap/Hip Hop
Backdoor,Lil Durk,Rap/Hip Hop
Fake Woke,Tom MacDonald,Rap/Hip Hop
Mr. Right Now,21 Savage,Rap/Hip Hop
Savage Love,Jawsh 685,Pop
Lo Vas A Olvidar,Billie Eilish,Pop
Take You Dancing,Jason Derulo,Pop
Hit Different,SZA,R&B
Champagne Night,Lady A,Country
Kacey Talk,YoungBoy Never Broke Again,Rap/Hip Hop
Adderall,Popp Hunna,Rap/Hip Hop
Antes,Anuel AA,Reggaeton
I Should Probably Go To Bed,Dan + Shay,Country
WAP,Cardi B,Rap/Hip Hop
Love You Like I Used To,Russell Dickerson,Country
De Una Vez,Selena Gomez,Pop
Better Days,Ant Clemons,R&B
Hawai,Maluma,Rap/Hip Hop
B.S.,Jhene Aiko,R&B
Neon Eyes,Morgan Wallen,Country
More Surprised Than Me,Morgan Wallen,Country
Livin' The Dream,Morgan Wallen,Country
Whiskey'd My Way,Morgan Wallen,Country
Your Bartender,Morgan Wallen,Country
Outlaw,Morgan Wallen,Country
Only Thing That's Gone,Morgan Wallen,Country
This Bar,Morgan Wallen,Country
Wonderin' Bout The Wind,Morgan Wallen,Country
Girl Like Me,Jazmine Sullivan,R&B
Midnight Sky,Miley Cyrus,Pop
Happy Anywhere,Blake Shelton,Country
Pretty Heart,Parker McCollum,Country
Watermelon Sugar,Harry Styles,Pop
Ain't Always The Cowboy,Jon Pardi,Country
Way Out,Jack Harlow,Rap/Hip Hop
Some Girls,Jameson Rodgers,Country
Took Her To The O,King Von,Rap/Hip Hop
Wonder,Shawn Mendes,Pop
Everywhere But On,Matt Stell,Country
Reminds Me Of You,The Kid LAROI,Rap/Hip Hop
All I Want For Christmas Is You,Mariah Carey,Pop
Rockin' Around The Christmas Tree,Brenda Lee,
Jingle Bell Rock,Bobby Helms,Kids
A Holly Jolly Christmas,Burl Ives,
It's The Most Wonderful Time Of The Year,Andy Williams,Classical
Run Rudolph Run,Chuck Berry,Rock
Feliz Navidad,Jose Feliciano,Classical
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,Kids
The Christmas Song,Nat King Cole,
Underneath The Tree,Kelly Clarkson,
Redman,Lil Durk,Rap/Hip Hop
Slay3r,Playboi Carti,Rap/Hip Hop
Go2DaMoon,Playboi Carti,Rap/Hip Hop
Refugee,Lil Durk,Rap/Hip Hop
Take Me Home For Christmas,Dan + Shay,
Vamp Anthem,Playboi Carti,Rap/Hip Hop
New N3on,Playboi Carti,Rap/Hip Hop
Death Ain't Easy,Lil Durk,Rap/Hip Hop
M3tamorphosis,Playboi Carti,Rap/Hip Hop
Last Christmas,Wham!,Pop
Sleigh Ride,The Ronettes,Classical
It's Beginning To Look A Lot Like Christmas,Perry Como,
Rudolph The Red-Nosed Reindeer,Gene Autry,Classical
Santa Tell Me,Ariana Grande,
