genre,week,ExponentialSmoothing_Count,ARIMA_Count,Prophet_Count,LSTM_Count,ExponentialSmoothing_Rank,ARIMA_Rank,Prophet_Rank,LSTM_Rank
Country,2022-01-17,21.97898098866986,20.80564071936083,19.33190775829679,17.57071,58.37102531637069,60.177610625248754,63.56571291982607,63.35955
Country,2022-01-24,22.034505582116623,20.785761781881796,19.515306397529233,18.70887,59.32418493803779,60.242658477525794,63.395891729341024,61.97356
Country,2022-01-31,22.02658509357258,20.770158446216016,19.50918784162092,17.817284,60.84320768565909,60.285785026590865,63.317721360625036,62.00715
Country,2022-02-07,21.844010142522997,20.75788232097159,19.35645581332445,16.280506,60.07788390984669,60.33159048450104,63.27229459052973,61.146572
Country,2022-02-14,21.741020386266936,20.748237989404764,19.144929882770963,16.288212,59.65686725627721,60.36175595182274,63.22952290600993,61.950794
Country,2022-02-21,21.574318758973355,20.740654380454174,18.970181724721606,16.419804,58.843932610989135,60.394013686517646,63.26179742785542,60.873837
Country,2022-02-28,21.677420920188784,20.734694524653904,18.90672058259848,16.522661,58.553825902733024,60.415110762180504,63.558664585113945,60.395653
Country,2022-03-07,21.730290756347316,20.73000912075439,18.97171479248923,15.878702,58.22200852451429,60.43782946816421,64.28687373741687,60.584087
Country,2022-03-14,21.75146690598525,20.726326438186696,19.105822355966996,16.882935,58.2789099890249,60.45258243538754,65.37029146430979,60.220665
Country,2022-03-21,22.07408502822583,20.72343149587947,19.210734224113587,16.893244,58.47546867774301,60.468584172657515,66.42122766323973,59.821682
Pop,2021-11-08,23.09554385551072,22.790213940750036,19.659532351852086,25.694717,32.42171200450227,34.224234532852485,38.8215172122272,43.006668
Pop,2021-11-15,22.872431724185553,22.500704056109264,19.59973859572125,24.04234,32.49090491014655,35.345626857102346,38.74582749990322,36.94657
Pop,2021-11-22,22.9037171446038,22.320715633290597,19.570360947144174,22.919966,32.801065294814954,36.29989430589353,38.81922231872129,43.15022
Pop,2021-11-29,22.839657697827974,22.1089274512586,19.675722446218657,22.128902,33.119962296928136,36.93259404825584,39.109402501302,39.86988
Pop,2021-12-06,22.823585608615254,21.968412131108753,19.79925875445786,23.290716,33.353420504683434,37.484136896770735,39.46409039018641,45.356483
Pop,2021-12-13,23.029592671663572,21.81243710656362,19.738250746833934,23.579496,33.653848015929015,37.838622817677106,39.639217214697574,46.73055
Pop,2021-12-20,23.029216789571183,21.70355320210046,19.455533406757084,25.14175,33.37894540147502,38.158415300834875,39.5127418770042,44.036407
Pop,2021-12-27,22.854307925361894,21.588217934179173,19.129999933599837,25.476398,33.234509481884565,38.35610276292991,39.15186355224227,45.475216
Pop,2022-01-03,22.9333171763338,21.504320548040262,18.947925289386767,25.5383,33.16440553478036,38.54219303153429,38.69913339763151,45.010624
Pop,2022-01-10,22.869739183539636,21.418745111425068,18.907169035288515,26.498013,32.86839994784823,38.65177661562082,38.25752024383419,37.95234
Pop,2022-01-17,23.345889399278782,21.354383690795693,18.879100441063855,26.107513,33.608151266035584,38.76052968606878,37.91216093952826,42.14709
Pop,2022-01-24,23.091974217284182,21.29070747494763,18.82681531407881,25.224709,33.47281827309557,38.820797069870416,37.79942735791531,41.242027
Pop,2022-01-31,23.314416049542416,21.241502677491525,18.86904440917657,26.203842,33.827597847506844,38.88467563129513,38.04480613055479,39.83441
