song,artist,song_clean,artist_clean
S&M,Rihanna Featuring Britney Spears,S&M,Rihanna
Liv Tonight,Nelly Featuring Keri Hilson,Liv Tonight,Nelly
The Show Goes On,Lupe Fiasco,The Show Goes On,Lupe Fiasco
Roll With It,Easton Corbin,Roll With It,Easton Corbin
Sick,New Hollow,Sick,New Hollow
This Ain't No Love Song,Trace Adkins,This Ain't No Love Song,Trace Adkins
What If,Jason Derulo,What If,Jason Derulo
Blow,Ke$ha,Blow,Ke$ha
Turn Around (5 4 3 2 1),Flo Rida,Turn Around,Flo Rida
Start Me Up / Livin' On A Prayer,Glee Cast,Start Me Up / Livin' On A Prayer,Glee Cast
Stop! In The Name Of Love / Free Your Mind,Glee Cast,Stop! In The Name Of Love / Free Your Mind,Glee Cast
One Love (People Get Ready),Glee Cast,One Love,Glee Cast
Cooler Than Me,Mike Posner,Cooler Than Me,Mike Posner
California Gurls,Katy Perry Featuring Snoop Dogg,California Gurls,Katy Perry
Marijuana,Kid Cudi,Marijuana,Kid Cudi
Cannibal,Ke$ha,Cannibal,Ke$ha
Scott Mescudi Vs. The World,Kid Cudi Featuring Cee-Lo,Scott Mescudi Vs. The World,Kid Cudi
Holding You Down (Goin In Circles),Jazmine Sullivan,Holding You Down,Jazmine Sullivan
Airplanes,B.o.B Featuring Hayley Williams,Airplanes,B.o.B
Sleazy Remix 2.0 Get Sleazier,"Ke$ha Featuring Lil Wayne, Wiz Khalifa, T.I. & Andre 3000",Sleazy Remix 2.0 Get Sleazier,Ke$ha
Farmer's Daughter,Rodney Atkins,Farmer's Daughter,Rodney Atkins
Misery,Maroon 5,Misery,Maroon 5
Roman's Revenge,Nicki Minaj Featuring Eminem,Roman's Revenge,Nicki Minaj
Get Back Up,T.I. Featuring Chris Brown,Get Back Up,T.I.
Lo Mejor De Mi Vida Eres Tu,Ricky Martin Featuring Natalia Jimenez,Lo Mejor De Mi Vida Eres Tu,Ricky Martin
Sparks Fly,Taylor Swift,Sparks Fly,Taylor Swift
Toot It And Boot It,YG,Toot It And Boot It,YG
If I Had You,Adam Lambert,If I Had You,Adam Lambert
Double Vision,3OH!3,Double Vision,3OH!3
2012 (It Ain't The End),Jay Sean Featuring Nicki Minaj,2012,Jay Sean
Love All Over Me,Monica,Love All Over Me,Monica
The Big Bang,ROCKMAFIA,The Big Bang,ROCKMAFIA
Radioactive,Kings Of Leon,Radioactive,Kings Of Leon
Innocent,Taylor Swift,Innocent,Taylor Swift
The Story Of Us,Taylor Swift,The Story Of Us,Taylor Swift
Dear John,Taylor Swift,Dear John,Taylor Swift
Better Than Revenge,Taylor Swift,Better Than Revenge,Taylor Swift
Haunted,Taylor Swift,Haunted,Taylor Swift
Last Kiss,Taylor Swift,Last Kiss,Taylor Swift
I Won't Let Go,Rascal Flatts,I Won't Let Go,Rascal Flatts
Enchanted,Taylor Swift,Enchanted,Taylor Swift
Mr. Rager,Kid Cudi,Mr. Rager,Kid Cudi
Never Grow Up,Taylor Swift,Never Grow Up,Taylor Swift
Long Live,Taylor Swift,Long Live,Taylor Swift
Time Warp,Glee Cast,Time Warp,Glee Cast
Hollywood,Michael Buble,Hollywood,Michael Buble
All Over Me,Josh Turner,All Over Me,Josh Turner
Mean,Taylor Swift,Mean,Taylor Swift
Not Afraid,Eminem,Not Afraid,Eminem
OMG,Usher Featuring will.i.am,OMG,Usher
Magic,B.o.B Featuring Rivers Cuomo,Magic,B.o.B
If It's Love,Train,If It's Love,Train
