song,artist,song_clean,artist_clean
Why,Annie Lennox,Why,Annie Lennox
Honey Love,R. Kelly & Public Announcement,Honey Love,R. Kelly
1-4-All-4-1,East Coast Family,1-4-All-4-1,East Coast Family
Nobody Wins In This War,Mitch Malloy,Nobody Wins In This War,Mitch Malloy
It's My Cadillac (Got That Bass),MC Nas-D & DJ Fred,It's My Cadillac,MC Nas-D
If You Asked Me To,Celine Dion,If You Asked Me To,Celine Dion
They Want EFX,Das EFX,They Want EFX,Das EFX
Slow Motion,Color Me Badd,Slow Motion,Color Me Badd
Keep It Comin' (Dance Till You Can't Dance No More!),C+C Music Factory,Keep It Comin',C+C Music Factory
Sad New Day,Me Phi Me,Sad New Day,Me Phi Me
Hold On My Heart,Genesis,Hold On My Heart,Genesis
Good Stuff,The B-52s,Good Stuff,The B-52s
Do It To Me,Lionel Richie,Do It To Me,Lionel Richie
Scenario,A Tribe Called Quest,Scenario,A Tribe Called Quest
Damn I Wish I Was Your Lover,Sophie B. Hawkins,Damn I Wish I Was Your Lover,Sophie B. Hawkins
Tennessee,Arrested Development,Tennessee,Arrested Development
I Will Remember You,Amy Grant,I Will Remember You,Amy Grant
Sometimes I Rhyme Slow,Nice & Smooth,Sometimes I Rhyme Slow,Nice
"All Shook Up (From ""Honeymoon In Vegas"")",Billy Joel,All Shook Up,Billy Joel
In The Closet,Michael Jackson,In The Closet,Michael Jackson
James Brown Is Dead,L.A. Style,James Brown Is Dead,L.A. Style
Make Love Like A Man,Def Leppard,Make Love Like A Man,Def Leppard
Wherever I May Roam,Metallica,Wherever I May Roam,Metallica
Strobelite Honey,Black Sheep,Strobelite Honey,Black Sheep
Brainstorming,M.C. Brains,Brainstorming,M.C. Brains
Victim Of The Ghetto,The College Boyz,Victim Of The Ghetto,The College Boyz
Jump,Kris Kross,Jump,Kris Kross
Just Take My Heart,Mr. Big,Just Take My Heart,Mr. Big
Another Minute,Cause And Effect,Another Minute,Cause
You Won't See Me Cry,Wilson Phillips,You Won't See Me Cry,Wilson Phillips
The Way I Feel,Tag,The Way I Feel,Tag
Slowly,Stacy Earl,Slowly,Stacy Earl
Please Don't Go,Boyz II Men,Please Don't Go,Boyz II Men
Silent Prayer,Shanice,Silent Prayer,Shanice
Helluva,Brotherhood Creed,Helluva,Brotherhood Creed
Everything About You,Ugly Kid Joe,Everything About You,Ugly Kid Joe
Sexy MF,Prince And The N.P.G.,Sexy MF,Prince
Who's Got Your Love,Nyasia,Who's Got Your Love,Nyasia
Galileo,Indigo Girls,Galileo,Indigo Girls
Never Satisfied,Good 2 Go,Never Satisfied,Good 2 Go
Remedy,The Black Crowes,Remedy,The Black Crowes
Let's Get Rocked,Def Leppard,Let's Get Rocked,Def Leppard
I've Got Mine,Glenn Frey,I've Got Mine,Glenn Frey
"Full Term Love (From ""Class Act"")",Monie Love,Full Term Love,Monie Love
Not The Only One,Bonnie Raitt,Not The Only One,Bonnie Raitt
Forever In Your Eyes,Mint Condition,Forever In Your Eyes,Mint Condition
Live And Learn,Joe Public,Live And Learn,Joe Public
Tears In Heaven,Eric Clapton,Tears In Heaven,Eric Clapton
Save The Best For Last,Vanessa Williams,Save The Best For Last,Vanessa Williams
Strawberry Letter 23,Tevin Campbell,Strawberry Letter 23,Tevin Campbell
Maria,TKA,Maria,TKA
T.L.C.,Linear,T.L.C.,Linear
Reach For The Sky,Firehouse,Reach For The Sky,Firehouse
Why Me Baby?,Keith Sweat,Why Me Baby?,Keith Sweat
So What'cha Want,Beastie Boys,So What'cha Want,Beastie Boys
One,U2,One,U2
Thought I'd Died And Gone To Heaven,Bryan Adams,Thought I'd Died And Gone To Heaven,Bryan Adams
All You've Got,RTZ,All You've Got,RTZ
57 Channels (And Nothin' On),Bruce Springsteen,57 Channels,Bruce Springsteen
Closer To Me,The Outfield,Closer To Me,The Outfield
Fall In Love Again,Eddie Money,Fall In Love Again,Eddie Money
Ain't 2 Proud 2 Beg,TLC,Ain't 2 Proud 2 Beg,TLC
Faces Of Love,Nia Peeples,Faces Of Love,Nia Peeples
Whatever It Takes (To Make You Stay),Troop,Whatever It Takes,Troop
If You Want It,2nd II None,If You Want It,2nd II None
Come As You Are,Nirvana,Come As You Are,Nirvana
Lift Me Up,Howard Jones,Lift Me Up,Howard Jones
I Need Love,Olivia Newton-John,I Need Love,Olivia Newton-John
Bohemian Rhapsody,Queen,Bohemian Rhapsody,Queen
Nu Nu,Lidell Townsell,Nu Nu,Lidell Townsell
Take Time,Chris Walker,Take Time,Chris Walker
You Think You Know Her,Cause And Effect,You Think You Know Her,Cause
Make It Happen,Mariah Carey,Make It Happen,Mariah Carey
Everything Changes,Kathy Troccoli,Everything Changes,Kathy Troccoli
Love Me,Tracie Spencer,Love Me,Tracie Spencer
3-2-1 Pump,Redhead Kingpin & The F.B.I.,3-2-1 Pump,Redhead Kingpin
Smells Like Nirvana,"""Weird Al"" Yankovic",Smells Like Nirvana,"""Weird Al"" Yankovic"
Human Touch/Better Days,Bruce Springsteen,Human Touch/Better Days,Bruce Springsteen
Innocent Child,Colourhaus,Innocent Child,Colourhaus
Nothing Else Matters,Metallica,Nothing Else Matters,Metallica
The Choice Is Yours,Black Sheep,The Choice Is Yours,Black Sheep
Hazard,Richard Marx,Hazard,Richard Marx
Anything At All,Mitch Malloy,Anything At All,Mitch Malloy
I'm The One You Need,Jody Watley,I'm The One You Need,Jody Watley
Don't Be Afraid,Aaron Hall,Don't Be Afraid,Aaron Hall
Baby Hold On To Me,Gerald Levert (Duet With Eddie Levert),Baby Hold On To Me,Gerald Levert (Duet
All Woman,Lisa Stansfield,All Woman,Lisa Stansfield
This Is The Last Time,Laura Enea,This Is The Last Time,Laura Enea
Will You Marry Me?,Paula Abdul,Will You Marry Me?,Paula Abdul
Goodbye,Tevin Campbell,Goodbye,Tevin Campbell
Boom! I Got Your Boyfriend,MC Luscious,Boom! I Got Your Boyfriend,MC Luscious
Everything's Gonna Be Alright,Naughty By Nature,Everything's Gonna Be Alright,Naughty By Nature
High,The Cure,High,The Cure
Money Don't Matter 2 Night,Prince And The N.P.G.,Money Don't Matter 2 Night,Prince
Your Song,Rod Stewart,Your Song,Rod Stewart
I Wanna Rock,Luke,I Wanna Rock,Luke
Sleeping With The Lights On,Curtis Stigers,Sleeping With The Lights On,Curtis Stigers
Love You All My Lifetime,Chaka Khan,Love You All My Lifetime,Chaka Khan
Masterpiece,Atlantic Starr,Masterpiece,Atlantic Starr
Breakin' My Heart (Pretty Brown Eyes),Mint Condition,Breakin' My Heart,Mint Condition
I Can't Dance,Genesis,I Can't Dance,Genesis
We Got A Love Thang,CeCe Peniston,We Got A Love Thang,CeCe Peniston
Thinkin' Back,Color Me Badd,Thinkin' Back,Color Me Badd
Set Me Free,Clubland Featuring Zemya Hamilton,Set Me Free,Clubland
Bad Bad Boys,Midi Maxi & Efti,Bad Bad Boys,Midi Maxi
You Showed Me,Salt-N-Pepa,You Showed Me,Salt-N-Pepa
Remember The Time,Michael Jackson,Remember The Time,Michael Jackson
What Goes Around Comes Around,Giggles,What Goes Around Comes Around,Giggles
Missing You Now,Michael Bolton,Missing You Now,Michael Bolton
"Mama, I'm Coming Home",Ozzy Osbourne,"Mama, I'm Coming Home",Ozzy Osbourne
This Is The Way We Roll,M.C. Hammer,This Is The Way We Roll,M.C. Hammer
Can't Cry Hard Enough,The Williams Brothers,Can't Cry Hard Enough,The Williams Brothers
Take My Advice,Kym Sims,Take My Advice,Kym Sims
Beauty And The Beast,Celine Dion And Peabo Bryson,Beauty And The Beast,Celine Dion
To Be With You,Mr. Big,To Be With You,Mr. Big
Good For Me,Amy Grant,Good For Me,Amy Grant
Don't Talk Just Kiss,Right Said Fred,Don't Talk Just Kiss,Right Said Fred
She's Got That Vibe,R. Kelly & Public Announcement,She's Got That Vibe,R. Kelly
Justified And Ancient,The KLF Featuring Tammy Wynette,Justified And Ancient,The KLF
White Men Can't Jump,Riff,White Men Can't Jump,Riff
What You Give,Tesla,What You Give,Tesla
It's Over Now,L.A. Guns,It's Over Now,L.A. Guns
Losing You,Mocca Soul,Losing You,Mocca Soul
All 4 Love,Color Me Badd,All 4 Love,Color Me Badd
I Love Your Smile,Shanice,I Love Your Smile,Shanice
If You Go Away,NKOTB,If You Go Away,NKOTB
Until Your Love Comes Back Around,RTZ,Until Your Love Comes Back Around,RTZ
It's Not A Love Thing,Geoffrey Williams,It's Not A Love Thing,Geoffrey Williams
Oochie Coochie,M.C. Brains,Oochie Coochie,M.C. Brains
I'm Too Sexy,Right Said Fred,I'm Too Sexy,Right Said Fred
Finally,CeCe Peniston,Finally,CeCe Peniston
Romeo & Juliet,Stacy Earl (Featuring The Wild Pair),Romeo & Juliet,Stacy Earl (Featuring The Wild Pair)
Too Much Passion,The Smithereens,Too Much Passion,The Smithereens
Church Of Your Heart,Roxette,Church Of Your Heart,Roxette
I'll Get By,Eddie Money,I'll Get By,Eddie Money
What Becomes Of The Brokenhearted,Paul Young,What Becomes Of The Brokenhearted,Paul Young
Stay,Jodeci,Stay,Jodeci
A Deeper Love/Pride In The Name Of Love,Clivilles & Cole,A Deeper Love/Pride In The Name Of Love,Clivilles
No Sunshine,Kid Frost,No Sunshine,Kid Frost
Do Not Pass Me By,M.C. Hammer,Do Not Pass Me By,M.C. Hammer
The Life Of Riley,Lightning Seeds,The Life Of Riley,Lightning Seeds
Right Now,Van Halen,Right Now,Van Halen
Tell Me What You Want Me To Do,Tevin Campbell,Tell Me What You Want Me To Do,Tevin Campbell
Uhh Ahh,Boyz II Men,Uhh Ahh,Boyz II Men
Diamonds And Pearls,Prince And The N.P.G.,Diamonds And Pearls,Prince
Stars,Simply Red,Stars,Simply Red
Again Tonight,John Mellencamp,Again Tonight,John Mellencamp
Smells Like Teen Spirit,Nirvana,Smells Like Teen Spirit,Nirvana
Don't Let The Sun Go Down On Me,George Michael/Elton John,Don't Let The Sun Go Down On Me,George Michael/Elton John
Caribbean Blue,Enya,Caribbean Blue,Enya
Vibeology,Paula Abdul,Vibeology,Paula Abdul
Don't Lose The Magic,Shawn Christopher,Don't Lose The Magic,Shawn Christopher
We Will Rock You,Warrant,We Will Rock You,Warrant
The Globe,Big Audio,The Globe,Big Audio
Addams Groove,M.C. Hammer,Addams Groove,M.C. Hammer
Doo Doo Brown,2 Hyped Brothers & A Dog,Doo Doo Brown,2 Hyped Brothers
On A Sunday Afternoon,Lighter Shade Of Brown,On A Sunday Afternoon,Lighter Shade Of Brown
The Way I Feel About You,Karyn White,The Way I Feel About You,Karyn White
Keep It Comin',Keith Sweat,Keep It Comin',Keith Sweat
You Are The One,Chris Cuevas,You Are The One,Chris Cuevas
How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill,How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill
IOU,Arthur Baker Featuring Nikeeta,IOU,Arthur Baker
Mysterious Ways,U2,Mysterious Ways,U2
I Can't Make You Love Me,Bonnie Raitt,I Can't Make You Love Me,Bonnie Raitt
Is It Good To You,Heavy D & The Boyz,Is It Good To You,Heavy D
Black Or White,Michael Jackson,Black Or White,Michael Jackson
Move Any Mountain,The Shamen,Move Any Mountain,The Shamen
Poor Georgie,MC Lyte,Poor Georgie,MC Lyte
Paper Doll,P.M. Dawn,Paper Doll,P.M. Dawn
Live And Let Die,Guns N' Roses,Live And Let Die,Guns N' Roses
Killer,Seal,Killer,Seal
Can't Let Go,Mariah Carey,Can't Let Go,Mariah Carey
Kiss You Back,Digital Underground,Kiss You Back,Digital Underground
Too Blind To See It,Kym Sims,Too Blind To See It,Kym Sims
I Need Money,Marky Mark & The Funky Bunch,I Need Money,Marky Mark
The Unforgiven,Metallica,The Unforgiven,Metallica
Everlasting Love,Tony Terry,Everlasting Love,Tony Terry
In Paradise,Laissez Faire,In Paradise,Laissez Faire
There Will Never Be Another Tonight,Bryan Adams,There Will Never Be Another Tonight,Bryan Adams
2 Legit 2 Quit,M.C. Hammer,2 Legit 2 Quit,M.C. Hammer
Kissing The Wind,Nia Peeples,Kissing The Wind,Nia Peeples
Love Me All Up,Stacy Earl,Love Me All Up,Stacy Earl
Ain't Gonna Hurt Nobody,Kid 'N Play,Ain't Gonna Hurt Nobody,Kid 'N Play
Wildside,Marky Mark & The Funky Bunch,Wildside,Marky Mark
Hold On (Tighter To Love),Clubland,Hold On,Clubland
No Son Of Mine,Genesis,No Son Of Mine,Genesis
I Wanna Be Your Girl,Icy Blu,I Wanna Be Your Girl,Icy Blu
Keep Coming Back,Richard Marx,Keep Coming Back,Richard Marx
Change,Lisa Stansfield,Change,Lisa Stansfield
Peace Of Mind (Love Goes On),One 2 One,Peace Of Mind,One 2 One
Do You Want It Right Now,Degrees Of Motion,Do You Want It Right Now,Degrees Of Motion
Only Love Can Break Your Heart,St. Etienne,Only Love Can Break Your Heart,St. Etienne
In My Dreams,The Party,In My Dreams,The Party
Juice (Know The Ledge),Eric B. & Rakim,Juice,Eric B.
I've Got A Lot To Learn About Love,The Storm,I've Got A Lot To Learn About Love,The Storm
Forever My Lady,Jodeci,Forever My Lady,Jodeci
Hearts Don't Think (They Feel),Natural Selection,Hearts Don't Think,Natural Selection
Spending My Time,Roxette,Spending My Time,Roxette
I Want You,Jody Watley,I Want You,Jody Watley
You're All That Matters To Me,Curtis Stigers,You're All That Matters To Me,Curtis Stigers
Send Me An Angel,Scorpions,Send Me An Angel,Scorpions
Cold Shower,Erin Cruise,Cold Shower,Erin Cruise
Set Adrift On Memory Bliss,P.M. Dawn,Set Adrift On Memory Bliss,P.M. Dawn
Broken Arrow,Rod Stewart,Broken Arrow,Rod Stewart
Angel Baby,Angelica,Angel Baby,Angelica
Blowing Kisses In The Wind,Paula Abdul,Blowing Kisses In The Wind,Paula Abdul
Tender Kisses,Tracie Spencer,Tender Kisses,Tracie Spencer
Home Sweet Home,Motley Crue,Home Sweet Home,Motley Crue
Save Up All Your Tears,Cher,Save Up All Your Tears,Cher
Live For Loving You,Gloria Estefan,Live For Loving You,Gloria Estefan
When A Man Loves A Woman,Michael Bolton,When A Man Loves A Woman,Michael Bolton
Blinded By Love,Rhythm Syndicate,Blinded By Love,Rhythm Syndicate
Within My Heart,Voyce,Within My Heart,Voyce
Street Of Dreams,Nia Peeples,Street Of Dreams,Nia Peeples
The Comfort Zone,Vanessa Williams,The Comfort Zone,Vanessa Williams
It's So Hard To Say Goodbye To Yesterday,Boyz II Men,It's So Hard To Say Goodbye To Yesterday,Boyz II Men
Mind Playing Tricks On Me,Geto Boys,Mind Playing Tricks On Me,Geto Boys
The Rush,Luther Vandross,The Rush,Luther Vandross
All She Wrote,Firehouse,All She Wrote,Firehouse
Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,Ring My Bell,D.J. Jazzy Jeff
Top Of The World,Van Halen,Top Of The World,Van Halen
There's No Other Way,Blur,There's No Other Way,Blur
That's What Love Is For,Amy Grant,That's What Love Is For,Amy Grant
Cream,Prince And The N.P.G.,Cream,Prince
Whispers,Corina,Whispers,Corina
A Day In My Life (Without You),Lisette Melendez,A Day In My Life,Lisette Melendez
I'll Take You There,BeBe & CeCe Winans Featuring Mavis Staples,I'll Take You There,BeBe
Just A Touch Of Love,C+C Music Factory Presents Zelma Davis,Just A Touch Of Love,C+C Music Factory Presents Zelma Davis
Don't Cry,Guns N' Roses,Don't Cry,Guns N' Roses
Set The Night To Music,Roberta Flack With Maxi Priest,Set The Night To Music,Roberta Flack
Housecall,Shabba Ranks (Featuring Maxi Priest),Housecall,Shabba Ranks (Featuring Maxi Priest)
She Ain't Pretty,The Northern Pikes,She Ain't Pretty,The Northern Pikes
Shot Of Poison,Lita Ford,Shot Of Poison,Lita Ford
Butt Naked,Charm,Butt Naked,Charm
O.P.P.,Naughty By Nature,O.P.P.,Naughty By Nature
Can't Stop This Thing We Started,Bryan Adams,Can't Stop This Thing We Started,Bryan Adams
Ain't No Future In Yo' Fronting,M.C. Breed & D.F.C.,Ain't No Future In Yo' Fronting,M.C. Breed
Every Road Leads Back To You,Bette Midler,Every Road Leads Back To You,Bette Midler
Can't Truss It,Public Enemy,Can't Truss It,Public Enemy
Insatiable,Prince And The N.P.G.,Insatiable,Prince
Pop That Coochie,The 2 Live Crew,Pop That Coochie,The 2 Live Crew
All Through The Night,Tone-Loc,All Through The Night,Tone-Loc
No More Tears,Ozzy Osbourne,No More Tears,Ozzy Osbourne
I Wonder Why,Curtis Stigers,I Wonder Why,Curtis Stigers
Conviction Of The Heart,Kenny Loggins,Conviction Of The Heart,Kenny Loggins
Be True To Yourself,2nd II None,Be True To Yourself,2nd II None
The Fly,U2,The Fly,U2
Right Down To It,Damian Dame,Right Down To It,Damian Dame
Wasted Time,Skid Row,Wasted Time,Skid Row
Emotions,Mariah Carey,Emotions,Mariah Carey
Groovy Train,The Farm,Groovy Train,The Farm
Rush,Big Audio,Rush,Big Audio
Love Crazy,Atlantic Starr,Love Crazy,Atlantic Starr
Just Another Girlfriend,Hi-Five,Just Another Girlfriend,Hi-Five
What Time Is Love?,The KLF,What Time Is Love?,The KLF
Martika's Kitchen,Martika,Martika's Kitchen,Martika
Get A Leg Up,John Mellencamp,Get A Leg Up,John Mellencamp
Let's Talk About Sex,Salt-N-Pepa,Let's Talk About Sex,Salt-N-Pepa
Enter Sandman,Metallica,Enter Sandman,Metallica
Real Real Real,Jesus Jones,Real Real Real,Jesus Jones
Do Anything,Natural Selection,Do Anything,Natural Selection
Romantic,Karyn White,Romantic,Karyn White
Running Back To You,Vanessa Williams,Running Back To You,Vanessa Williams
Something Got Me Started,Simply Red,Something Got Me Started,Simply Red
Everybody Move,Cathy Dennis,Everybody Move,Cathy Dennis
Groovin',UB40,Groovin',UB40
Lies,EMF,Lies,EMF
All I Need Is You,Blue Train,All I Need Is You,Blue Train
Hole Hearted,Extreme,Hole Hearted,Extreme
The One And Only,Chesney Hawkes,The One And Only,Chesney Hawkes
Don't Want To Be A Fool,Luther Vandross,Don't Want To Be A Fool,Luther Vandross
Just Want To Hold You,Jasmine Guy,Just Want To Hold You,Jasmine Guy
Monsters And Angels,Voice Of The Beehive,Monsters And Angels,Voice Of The Beehive
Into The Great Wide Open,Tom Petty And The Heartbreakers,Into The Great Wide Open,Tom Petty
Walk Through Fire,Bad Company,Walk Through Fire,Bad Company
I Adore Mi Amor,Color Me Badd,I Adore Mi Amor,Color Me Badd
Word To The Badd!!,Jermaine Jackson,Word To The Badd!!,Jermaine Jackson
Then Came You,T.P.E.,Then Came You,T.P.E.
My Heart Belongs To You,Russ Irwin,My Heart Belongs To You,Russ Irwin
Stand By My Woman,Lenny Kravitz,Stand By My Woman,Lenny Kravitz
Hey Donna,Rhythm Syndicate,Hey Donna,Rhythm Syndicate
With You,Tony Terry,With You,Tony Terry
Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,Good Vibrations,Marky Mark
Something To Talk About,Bonnie Raitt,Something To Talk About,Bonnie Raitt
Everybody Plays The Fool,Aaron Neville,Everybody Plays The Fool,Aaron Neville
Thinking Of You,Grandmaster Slice,Thinking Of You,Grandmaster Slice
True Companion,Marc Cohn,True Companion,Marc Cohn
Do You Feel Like I Feel?,Belinda Carlisle,Do You Feel Like I Feel?,Belinda Carlisle
The Devil Came Up To Michigan,K.M.C. KRU,The Devil Came Up To Michigan,K.M.C. KRU
Love Of A Lifetime,Firehouse,Love Of A Lifetime,Firehouse
(Everything I Do) I Do It For You,Bryan Adams, I Do It For You,Bryan Adams
Motownphilly,Boyz II Men,Motownphilly,Boyz II Men
Now That We Found Love,Heavy D & The Boyz,Now That We Found Love,Heavy D
Fall At Your Feet,Crowded House,Fall At Your Feet,Crowded House
Double Good Everything,Smokey Robinson,Double Good Everything,Smokey Robinson
Straight To Your Heart,Bad English,Straight To Your Heart,Bad English
For You,Michael W. Smith,For You,Michael W. Smith
Gett Off,Prince And The N.P.G.,Gett Off,Prince
Wind Of Change,Scorpions,Wind Of Change,Scorpions
For Your Mind,Robbie Nevil,For Your Mind,Robbie Nevil
Too Many Walls,Cathy Dennis,Too Many Walls,Cathy Dennis
Power Windows,Billy Falcon,Power Windows,Billy Falcon
Love. . .Thy Will Be Done,Martika,Love. . .Thy Will Be Done,Martika
Try A Little Tenderness,The Commitments,Try A Little Tenderness,The Commitments
Forever More,Stevie B,Forever More,Stevie B
Kiss Them For Me,Siouxsie & The Banshees,Kiss Them For Me,Siouxsie
Superman's Song,Crash Test Dummies,Superman's Song,Crash Test Dummies
I'll Be There,The Escape Club,I'll Be There,The Escape Club
I'm Not Your Puppet,Hi-C,I'm Not Your Puppet,Hi-C
Ballad Of Youth,Richie Sambora,Ballad Of Youth,Richie Sambora
You're The Story Of My Life,Desmond Child,You're The Story Of My Life,Desmond Child
I Can't Wait Another Minute,Hi-Five,I Can't Wait Another Minute,Hi-Five
"Time, Love And Tenderness",Michael Bolton,"Time, Love And Tenderness",Michael Bolton
Shiny Happy People,R.E.M.,Shiny Happy People,R.E.M.
Heaven In The Back Seat,Eddie Money,Heaven In The Back Seat,Eddie Money
The Real Love,Bob Seger & The Silver Bullet Band,The Real Love,Bob Seger
Unforgettable,Natalie Cole,Unforgettable,Natalie Cole
Cool As Ice (Everybody Get Loose),Vanilla Ice,Cool As Ice,Vanilla Ice
Too Much,Tara Kemp,Too Much,Tara Kemp
The Promise Of A New Day,Paula Abdul,The Promise Of A New Day,Paula Abdul
Skat Strut,MC Skat Kat & The Stray Mob,Skat Strut,MC Skat Kat
Things That Make You Go Hmmmm. . .,C+C Music Factory,Things That Make You Go Hmmmm. . .,C+C Music Factory
Never Stop,The Brand New Heavies Featuring N'Dea Davenport,Never Stop,The Brand New Heavies
3 A.M. Eternal,The KLF,3 A.M. Eternal,The KLF
The Motown Song,Rod Stewart,The Motown Song,Rod Stewart
The Truth,Tami Show,The Truth,Tami Show
Sometimes (It's A Bitch),Stevie Nicks,Sometimes,Stevie Nicks
Crazy,Seal,Crazy,Seal
Why Can't You Come Home,Ex-Girlfriend,Why Can't You Come Home,Ex-Girlfriend
After The Summer's Gone,PC Quest,After The Summer's Gone,PC Quest
Everyotherday,Or-N-More (Featuring Father M.C.),Everyotherday,Or-N-More (Featuring Father M.C.)
Primal Scream,Motley Crue,Primal Scream,Motley Crue
She's Gone (Lady),Steelheart,She's Gone,Steelheart
Louder Than Love,TKA,Louder Than Love,TKA
Face The Music,RTZ,Face The Music,RTZ
Tonite,DJ Quik,Tonite,DJ Quik
Low Rider (On The Boulevard),Latin Alliance Featuring War,Low Rider,Latin Alliance
Every Heartbeat,Amy Grant,Every Heartbeat,Amy Grant
The Sound Of Your Voice,38 Special,The Sound Of Your Voice,38 Special
Chorus,Erasure,Chorus,Erasure
Good Time,Ziggy Marley And The Melody Makers,Good Time,Ziggy Marley
You Could Be Mine,Guns N' Roses,You Could Be Mine,Guns N' Roses
Fading Like A Flower (Every Time You Leave),Roxette,Fading Like A Flower,Roxette
Till Somebody Loves You,Henry Lee Summer,Till Somebody Loves You,Henry Lee Summer
It Ain't Over 'til It's Over,Lenny Kravitz,It Ain't Over 'til It's Over,Lenny Kravitz
This Beat Is Hot,B.G. The Prince Of Rap,This Beat Is Hot,B.G. The Prince Of Rap
If You're Serious,Riff,If You're Serious,Riff
Summertime,D.J. Jazzy Jeff & The Fresh Prince,Summertime,D.J. Jazzy Jeff
It Hit Me Like A Hammer,Huey Lewis & The News,It Hit Me Like A Hammer,Huey Lewis
Save Me,Lisa Fischer,Save Me,Lisa Fischer
Got A Love For You,Jomanda,Got A Love For You,Jomanda
Temptation,Corina,Temptation,Corina
Latin Active,Lighter Shade Of Brown Featuring Teardrop & Shiro,Latin Active,Lighter Shade Of Brown
Just Like You,Robbie Nevil,Just Like You,Robbie Nevil
Let The Beat Hit 'Em,Lisa Lisa And Cult Jam,Let The Beat Hit 'Em,Lisa Lisa
Pop Goes The Weasel,3rd Bass,Pop Goes The Weasel,3rd Bass
All About You,Pretty In Pink,All About You,Pretty In Pink
"Gonna Catch You (From ""Cool As Ice"")",Lonnie Gordon,Gonna Catch You,Lonnie Gordon
My Name Is Not Susan,Whitney Houston,My Name Is Not Susan,Whitney Houston
Can You Stop The Rain,Peabo Bryson,Can You Stop The Rain,Peabo Bryson
"Right Here, Right Now",Jesus Jones,"Right Here, Right Now",Jesus Jones
Learning To Fly,Tom Petty And The Heartbreakers,Learning To Fly,Tom Petty
Silver Thunderbird,Marc Cohn,Silver Thunderbird,Marc Cohn
P.A.S.S.I.O.N.,Rhythm Syndicate,P.A.S.S.I.O.N.,Rhythm Syndicate
My Fallen Angel,Coro,My Fallen Angel,Coro
Place In This World,Michael W. Smith,Place In This World,Michael W. Smith
Only Time Will Tell,Nelson,Only Time Will Tell,Nelson
Love And Understanding,Cher,Love And Understanding,Cher
There She Goes,The La's,There She Goes,The La's
Hard To Handle,The Black Crowes,Hard To Handle,The Black Crowes
Keep Warm,Jinny,Keep Warm,Jinny
6 Minutes Of Pleasure,LL Cool J,6 Minutes Of Pleasure,LL Cool J
If I Say,Kingofthehill,If I Say,Kingofthehill
That's The Way Love Goes,Young M.C.,That's The Way Love Goes,Young M.C.
When Love Cries,Donna Summer,When Love Cries,Donna Summer
Unbelievable,EMF,Unbelievable,EMF
I'll Never Let You Go,Steelheart,I'll Never Let You Go,Steelheart
Do You Want Me,Salt-N-Pepa,Do You Want Me,Salt-N-Pepa
Rush Rush,Paula Abdul,Rush Rush,Paula Abdul
Get Serious,Cut 'N' Move,Get Serious,Cut 'N' Move
Turn It Up,Oaktown's 3.5.7,Turn It Up,Oaktown's 3.5.7
Here I Am (Come And Take Me),UB40,Here I Am,UB40
"Just Ask Me To (From ""Boyz N The Hood"")",Tevin Campbell,Just Ask Me To,Tevin Campbell
Wishing On The Same Star,Keedy,Wishing On The Same Star,Keedy
Piece Of My Heart,Tara Kemp,Piece Of My Heart,Tara Kemp
"I Wanna Sex You Up (From ""New Jack City"")",Color Me Badd,I Wanna Sex You Up,Color Me Badd
Love On A Rooftop,Desmond Child,Love On A Rooftop,Desmond Child
"Nights Like This (From ""The Five Heartbeats"")",After 7,Nights Like This,After 7
The Dream Is Still Alive,Wilson Phillips,The Dream Is Still Alive,Wilson Phillips
More Than Words,Extreme,More Than Words,Extreme
Lily Was Here,David A. Stewart Introducing Candy Dulfer,Lily Was Here,David A. Stewart Introducing Candy Dulfer
Can't Forget You,Gloria Estefan,Can't Forget You,Gloria Estefan
Walking In Memphis,Marc Cohn,Walking In Memphis,Marc Cohn
When The Lights Go Out,Gerardo,When The Lights Go Out,Gerardo
Power Of Love/Love Power,Luther Vandross,Power Of Love/Love Power,Luther Vandross
Elevate My Mind,Stereo MC's,Elevate My Mind,Stereo MC's
How Can I Ease The Pain,Lisa Fischer,How Can I Ease The Pain,Lisa Fischer
Dirty Love,Thunder,Dirty Love,Thunder
Losing My Religion,R.E.M.,Losing My Religion,R.E.M.
Hey Stoopid,Alice Cooper,Hey Stoopid,Alice Cooper
Kissing You,Keith Washington,Kissing You,Keith Washington
A Better Love,Londonbeat,A Better Love,Londonbeat
I Don't Wanna See You,Michael Morales,I Don't Wanna See You,Michael Morales
Gypsy Woman (She's Homeless),Crystal Waters,Gypsy Woman,Crystal Waters
Never Gonna Let You Down,Surface,Never Gonna Let You Down,Surface
My Body Says Yes,Titiyo,My Body Says Yes,Titiyo
Playground,Another Bad Creation,Playground,Another Bad Creation
You Can't Play With My Yo-Yo,Yo-Yo Featuring Ice Cube,You Can't Play With My Yo-Yo,Yo-Yo
Your Love,Keith Sweat,Your Love,Keith Sweat
Wanna Dance,Yasmin,Wanna Dance,Yasmin
Love Desire,Sandee,Love Desire,Sandee
I Don't Wanna Cry,Mariah Carey,I Don't Wanna Cry,Mariah Carey
Surrender,Trixter,Surrender,Trixter
