song,artist,song_clean,artist_clean
No Child Left Behind,Kanye West,No Child Left Behind,Kanye West
Donda,Kanye West,Donda,Kanye West
Keep My Spirit Alive,Kanye West,Keep My Spirit Alive,Kanye West
Jail Pt 2,Kanye West,Jail Pt 2,Kanye West
"I Am Not A Woman, I'm A God",Halsey,"I Am Not A Woman, I'm A God",Halsey
New Again,Kanye West,New Again,Kanye West
Lord I Need You,Kanye West,Lord I Need You,Kanye West
Come To Life,Kanye West,Come To Life,Kanye West
Tell The Vision,Kanye West,Tell The Vision,Kanye West
Brutal,Olivia Rodrigo,Brutal,Olivia Rodrigo
AM,Nio Garcia X J Balvin X Bad Bunny,AM,Nio Garcia
Repeat It,Lil Tecca & Gunna,Repeat It,Lil Tecca
Matt Hardy 999,Trippie Redd Featuring Juice WRLD,Matt Hardy 999,Trippie Redd
Blinding Lights,The Weeknd,Blinding Lights,The Weeknd
Glad You Exist,Dan + Shay,Glad You Exist,Dan + Shay
Without You,The Kid LAROI,Without You,The Kid LAROI
Astronaut In The Ocean,Masked Wolf,Astronaut In The Ocean,Masked Wolf
Rapstar,Polo G,Rapstar,Polo G
Famous Friends,Chris Young + Kane Brown,Famous Friends,Chris Young + Kane Brown
Lil Bit,Nelly & Florida Georgia Line,Lil Bit,Nelly
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,Beautiful Mistakes,Maroon 5
Rich MF,Trippie Redd Featuring Lil Durk & Polo G,Rich MF,Trippie Redd
Already Won,Rod Wave Featuring Lil Durk,Already Won,Rod Wave
Betrayal,Trippie Redd Featuring Drake,Betrayal,Trippie Redd
Don't Go,"Skrillex, Justin Bieber & Don Toliver",Don't Go,Skrillex
Tombstone,Rod Wave,Tombstone,Rod Wave
Visiting Hours,Ed Sheeran,Visiting Hours,Ed Sheeran
Holy Smokes,Trippie Redd Featuring Lil Uzi Vert,Holy Smokes,Trippie Redd
Miss The Rage,Trippie Redd & Playboi Carti,Miss The Rage,Trippie Redd
You,Regard x Troye Sivan x Tate McRae,You,Regard
MP5,Trippie Redd Featuring SoFaygo,MP5,Trippie Redd
Paralyzed,Sueco,Paralyzed,Sueco
I Guess I'm In Love,Clinton Kane,I Guess I'm In Love,Clinton Kane
Get Ready,Rod Wave Featuring Kodak Black,Get Ready,Rod Wave
Danny Phantom,Trippie Redd Featuring XXXTENTACION,Danny Phantom,Trippie Redd
What's Wrong,Rod Wave,What's Wrong,Rod Wave
Demon Time,Trippie Redd Featuring Ski Mask The Slump God,Demon Time,Trippie Redd
Tick Tock,Young Thug,Tick Tock,Young Thug
Permission To Dance,BTS,Permission To Dance,BTS
Time Heals,Rod Wave,Time Heals,Rod Wave
Mind Of Melvin,YNW Melly Featuring Lil Uzi Vert,Mind Of Melvin,YNW Melly
Papercuts,Machine Gun Kelly,Papercuts,Machine Gun Kelly
SUVs (Black On Black),Jack Harlow & Pooh Shiesty,SUVs,Jack Harlow
Straightenin,Migos,Straightenin,Migos
Blame It On You,Jason Aldean,Blame It On You,Jason Aldean
Hats Off,"Lil Baby, Lil Durk & Travis Scott",Hats Off,Lil Baby
Over The Top,Smiley Featuring Drake,Over The Top,Smiley
Brainwashed,Tom MacDonald,Brainwashed,Tom MacDonald
my.life,"J. Cole, 21 Savage & Morray",my.life,J. Cole
WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",WUSYANAME,Tyler
Favorite Crime,Olivia Rodrigo,Favorite Crime,Olivia Rodrigo
Outside,MO3 X OG Bobby Billions,Outside,MO3
Ball If I Want To,DaBaby,Ball If I Want To,DaBaby
Next Girl,Carly Pearce,Next Girl,Carly Pearce
I Like Dat,T-Pain & Kehlani,I Like Dat,T-Pain
Steal My Love,Dan + Shay,Steal My Love,Dan + Shay
5500 Degrees,"EST Gee Featuring Lil Baby, 42 Dugg & Rylo Rodriguez",5500 Degrees,EST Gee
Telepatia,Kali Uchis,Telepatia,Kali Uchis
My Ex's Best Friend,Machine Gun Kelly X blackbear,My Ex's Best Friend,Machine Gun Kelly
NDA,Billie Eilish,NDA,Billie Eilish
EPMD 2,Nas Featuring Eminem & EPMD,EPMD 2,Nas
Lose,KSI x Lil Wayne,Lose,KSI
I Hope Ur Miserable Until Ur Dead,Nessa Barrett,I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Not Sober,The Kid LAROI Featuring Polo G & Stunna Gambino,Not Sober,The Kid LAROI
Happier,Olivia Rodrigo,Happier,Olivia Rodrigo
Twerkulator,City Girls,Twerkulator,City Girls
Fiel,"Los Legendarios, Wisin & Jhay Cortez",Fiel,Los Legendarios
Rare,Nas,Rare,Nas
Best Friend,Saweetie Featuring Doja Cat,Best Friend,Saweetie
Mood,24kGoldn Featuring iann dior,Mood,24kGoldn
One Too Many,Keith Urban Duet With P!nk,One Too Many,Keith Urban Duet
Getting Older,Billie Eilish,Getting Older,Billie Eilish
Billie Bossa Nova,Billie Eilish,Billie Bossa Nova,Billie Eilish
Oxytocin,Billie Eilish,Oxytocin,Billie Eilish
I Didn't Change My Number,Billie Eilish,I Didn't Change My Number,Billie Eilish
Way Less Sad,AJR,Way Less Sad,AJR
Lost Cause,Billie Eilish,Lost Cause,Billie Eilish
Halley's Comet,Billie Eilish,Halley's Comet,Billie Eilish
My Future,Billie Eilish,My Future,Billie Eilish
Build A Bitch,Bella Poarch,Build A Bitch,Bella Poarch
From The Garden,Isaiah Rashad Featuring Lil Uzi Vert,From The Garden,Isaiah Rashad
Working,Tate McRae X Khalid,Working,Tate McRae
Wants And Needs,Drake Featuring Lil Baby,Wants And Needs,Drake
Settling Down,Miranda Lambert,Settling Down,Miranda Lambert
Gone,Dierks Bentley,Gone,Dierks Bentley
Red Light Green Light,DaBaby,Red Light Green Light,DaBaby
Better Believe,"Belly, The Weeknd & Young Thug",Better Believe,Belly
