song,artist,genre
The Crow & The Butterfly,Shinedown,Rock
Cuando Me Enamoro,Enrique Iglesias,Pop
Over,Drake,Rap/Hip Hop
Can't Be Tamed,Miley Cyrus,Pop
Ordinary Girl,Hannah Montana,Films/Games
Eenie Meenie,Sean Kingston,R&B
If We Ever Meet Again,Timbaland,Pop
Opposite Of Adults,Chiddy Bang,Rap/Hip Hop
The Man I Want To Be,Chris Young,Country
Wavin' Flag,K'Naan,Rap/Hip Hop
Rude Boy,Rihanna,Pop
Telephone,Lady Gaga,Pop
Whataya Want From Me,Adam Lambert,Pop
My Chick Bad,Ludacris,Rap/Hip Hop
Gimmie That Girl,Joe Nichols,Country
Shark In The Water,V V Brown,R&B
Neighbors Know My Name,Trey Songz,R&B
Up On The Ridge,Dierks Bentley,Country
Never Say Never,Justin Bieber,Pop
Young Forever,Jay-Z + Mr. Hudson,Rap/Hip Hop
I Gotta Feeling,The Black Eyed Peas,
Outta Your Mind,Lil Jon,Rap/Hip Hop
Wrong Baby Wrong,Martina McBride,Country
I Can Do Anything,3OH!3,Alternative
TiK ToK,Ke$ha,Pop
Won't Back Down,Eminem,Rap/Hip Hop
Cold Wind Blows,Eminem,Rap/Hip Hop
Stay,Miley Cyrus,Pop
I Keep On Loving You,Reba,
Talkin' 2 Myself,Eminem,Rap/Hip Hop
Up All Night,Drake,Rap/Hip Hop
25 To Life,Eminem,Rap/Hip Hop
I'm Back,T.I.,Rap/Hip Hop
I Made It,Kevin Rudolf,Pop
Bad Romance,Lady Gaga,Pop
9 AM In Dallas,Drake,
Hey,Lil Jon,Rap/Hip Hop
Fireworks,Drake,Rap/Hip Hop
Winner,Jamie Foxx,Rap/Hip Hop
Another Way To Die,Disturbed,Rock
Lil Freak,Usher,R&B
Solo,Iyaz,Pop
Finding My Way Back,Jaheim,R&B
Faithfully,Glee Cast,Pop
Over The Rainbow,Glee Cast,Pop
Any Way You Want It/Lovin' Touchin' Squeezin',Glee Cast,Pop
Don't Stop Believin',Glee Cast,Pop
Bionic,Christina Aguilera,Pop
Not Myself Tonight,Christina Aguilera,Pop
To Sir With Love,Glee Cast,Pop
Bohemian Rhapsody,Glee Cast,Pop
"Beamer, Benz, Or Bentley",Lloyd Banks,Rap/Hip Hop
Poker Face,Glee Cast,Pop
I Gotta Get To You,George Strait,
Keep On Lovin' You,Steel Magnolia,Country
Everything To Me,Monica,R&B
Woohoo,Christina Aguilera,Pop
Yeah Ya Know,T.I.,Rap/Hip Hop
Imma Be,The Black Eyed Peas,
Hey Daddy,Usher,R&B
Baby,Justin Bieber,Pop
You And Your Heart,Jack Johnson,Rock
Good Vibrations,Glee Cast,Pop
Beautiful Day,Lee DeWyze,Alternative
Deja Vu,3OH!3,Alternative
Hallelujah,Lee DeWyze,
Another One Bites The Dust,Glee Cast,Pop
Falling Slowly,Lee DeWyze,
Unstoppable,Rascal Flatts,Country
Tell Me Something Good,Glee Cast,Pop
Loser,Glee Cast,Pop
"It's A Man's, Man's Man's World",Glee Cast,Pop
Dirty Picture,Taio Cruz,Pop
