period,Pop,Rock,Country,R&B,Rap/Hip Hop,Alternative,Dance,Electro,Films/Games,Latin Music,Christian,Reggae,Jazz,Folk,Metal,Singer & Songwriter,Reggaeton,Asian Music,Disco,Traditional Mexicano,Classical,Kids
2006-W16,0.24242424242424243,0.18181818181818182,0.24242424242424243,0.13636363636363635,0.07575757575757576,0.045454545454545456,0.0,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
2006-W17,0.25757575757575757,0.10606060606060606,0.2727272727272727,0.13636363636363635,0.10606060606060606,0.06060606060606061,0.0,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
2006-W18,0.24242424242424243,0.10606060606060606,0.2727272727272727,0.15151515151515152,0.12121212121212122,0.06060606060606061,0.0,0.015151515151515152,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.0,0.0
2006-W19,0.2463768115942029,0.14492753623188406,0.2753623188405797,0.14492753623188406,0.10144927536231885,0.043478260869565216,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0
2006-W20,0.22857142857142856,0.15714285714285714,0.24285714285714285,0.12857142857142856,0.12857142857142856,0.07142857142857142,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0
2006-W21,0.2318840579710145,0.13043478260869565,0.2463768115942029,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0
2006-W22,0.2318840579710145,0.14492753623188406,0.2753623188405797,0.11594202898550725,0.11594202898550725,0.07246376811594203,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0
2006-W23,0.2647058823529412,0.1323529411764706,0.27941176470588236,0.10294117647058823,0.08823529411764706,0.08823529411764706,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882352941176,0.0,0.0,0.0,0.0,0.0
2006-W24,0.2537313432835821,0.13432835820895522,0.2835820895522388,0.08955223880597014,0.11940298507462686,0.08955223880597014,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W25,0.2463768115942029,0.13043478260869565,0.2753623188405797,0.10144927536231885,0.14492753623188406,0.07246376811594203,0.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W26,0.2537313432835821,0.13432835820895522,0.2835820895522388,0.07462686567164178,0.14925373134328357,0.07462686567164178,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W27,0.2835820895522388,0.11940298507462686,0.29850746268656714,0.07462686567164178,0.1044776119402985,0.08955223880597014,0.0,0.014925373134328358,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W28,0.3088235294117647,0.11764705882352941,0.3088235294117647,0.04411764705882353,0.08823529411764706,0.10294117647058823,0.0,0.014705882352941176,0.014705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W29,0.3,0.12857142857142856,0.3,0.05714285714285714,0.1,0.1,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W30,0.3142857142857143,0.14285714285714285,0.3,0.05714285714285714,0.07142857142857142,0.1,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W31,0.34285714285714286,0.17142857142857143,0.2714285714285714,0.04285714285714286,0.05714285714285714,0.1,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W32,0.3333333333333333,0.2028985507246377,0.2753623188405797,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W33,0.31343283582089554,0.208955223880597,0.26865671641791045,0.04477611940298507,0.05970149253731343,0.08955223880597014,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W34,0.29850746268656714,0.208955223880597,0.2835820895522388,0.05970149253731343,0.05970149253731343,0.07462686567164178,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W35,0.29850746268656714,0.22388059701492538,0.22388059701492538,0.07462686567164178,0.05970149253731343,0.08955223880597014,0.0,0.0,0.029850746268656716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W36,0.30985915492957744,0.2112676056338028,0.22535211267605634,0.07042253521126761,0.056338028169014086,0.07042253521126761,0.0,0.0,0.056338028169014086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W37,0.2753623188405797,0.21739130434782608,0.21739130434782608,0.07246376811594203,0.057971014492753624,0.10144927536231885,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-W38,0.31343283582089554,0.22388059701492538,0.208955223880597,0.05970149253731343,0.07462686567164178,0.1044776119402985,0.0,0.0,0.014925373134328358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
